34.869377 -89.7695793
script.js:115 34.721997 -89.484501
script.js:115 34.9617604 -89.8295315
script.js:115 34.8481 -90.140894
script.js:115 34.9777877 -89.7958498
script.js:115 34.8723179 -89.6906396
script.js:115 27.3814003 -82.45617229999999
script.js:115 34.8267598 -89.9893158
script.js:115 34.9211635 -89.8298313
script.js:115 34.8223698 -90.1509091
script.js:115 48.5760609 -123.4347322
script.js:115 34.8973099 -90.0582755
script.js:115 34.8869582 -90.0957294
script.js:115 34.8167795 -90.0923644
script.js:115 35.0072777 -90.0842886
script.js:115 34.8725228 -89.72248789999999
script.js:115 34.8194921 -89.9940686
script.js:115 42.7486522 -83.3081132
script.js:115 34.73549819999999 -90.0112185
script.js:115 34.004498 -84.1682423
script.js:115 34.004498 -84.1682423
script.js:115 34.6387315 -90.15619509999999
script.js:115 34.8408279 -89.9841991
script.js:115 35.1303514 -89.9863493
script.js:115 35.1303514 -89.9863493
script.js:115 34.9185559 -89.8356711
script.js:115 34.8104302 -90.0019489
script.js:115 34.889789 -89.915633
script.js:115 34.5272239 -89.9560394
script.js:115 34.6162965 -89.9900863
script.js:115 38.0350712 -84.38217139999999
script.js:115 38.0350712 -84.38217139999999
script.js:115 34.9510443 -89.8739533
script.js:115 34.7607638 -90.01484719999999
script.js:115 34.8853375 -90.0596075
script.js:115 34.9577669 -90.043392
script.js:115 35.1552051 -89.78518860000001
script.js:115 34.9701292 -89.9035962
script.js:115 34.8864709 -89.6820303
script.js:115 34.9254896 -89.9693059
script.js:115 34.8335401 -89.1877639
script.js:115 34.8765368 -89.7107911
script.js:115 34.6826976 -90.0916531
script.js:115 34.3687603 -89.52006750000001
script.js:115 34.51557650000001 -89.0254776
script.js:115 34.8360052 -89.9963926
script.js:115 34.7047379 -90.3795622
script.js:115 43.1555051 -79.9116404
script.js:115 34.7875335 -89.8683727
script.js:115 34.7791219 -90.0423443
script.js:115 34.8168576 -90.18695269999999
script.js:115 32.3309539 -90.0411567
script.js:115 34.1872652 -90.5853743
script.js:115 34.690106 -89.92089999999999
script.js:115 34.7972585 -89.97000919999999
script.js:115 35.0465234 -89.3088477
script.js:115 34.9472123 -89.91269360000001
script.js:115 34.6977865 -90.1249326
script.js:115 34.9262347 -89.9130483
script.js:115 34.9262347 -89.9130483
script.js:115 34.672615 -89.9605665
script.js:115 34.7842869 -89.8518776
script.js:115 35.060758 -89.943969
script.js:115 34.9163946 -89.82365
script.js:115 34.9359198 -90.11377309999999
script.js:115 34.9264291 -89.9164896
script.js:115 34.7979782 -89.96703289999999
script.js:115 34.8875353 -89.6914647
script.js:115 34.9867886 -89.9324218
script.js:115 34.5697511 -90.1406015
script.js:115 34.8463927 -89.93031099999999
script.js:115 35.0350317 -90.0230035
script.js:115 34.8014109 -89.7991448
script.js:115 34.9245722 -90.1209332
script.js:115 35.3678101 -89.88116169999999
script.js:115 34.9089765 -89.8319957
script.js:115 34.803846 -89.9282628
script.js:115 34.7702786 -89.828096
script.js:115 35.3641803 -89.8460669
script.js:115 34.73792299999999 -90.004577
script.js:115 34.9427268 -89.7721748
script.js:115 34.8228435 -89.9934662
script.js:115 34.8703197 -89.8954466
script.js:115 34.7923147 -89.7959375
